OPDIV,CFDA Number,CFDA Program Title,Award Number,Award Title,Action Date,Recipient Name,City,State,Approp Code,Award Amount
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38757,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"WEST CALDWELL HEALTH COUNCIL, INC",COLLETTSVILLE,NC,C4,"$160,024 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38389,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"Cabarrus Rowan Community Health Centers, Inc",CONCORD,NC,C4,"$246,784 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38389,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"Cabarrus Rowan Community Health Centers, Inc",CONCORD,NC,C4,"$1,665 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E37670,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"LINCOLN COMMUNITY HEALTH CENTER, INC",DURHAM,NC,C4,"$623,917 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E37670,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"LINCOLN COMMUNITY HEALTH CENTER, INC",DURHAM,NC,C4,"$19,827 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38560,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"GOSHEN MEDICAL CENTER, INC",FAISON,NC,C4,"$520,299 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38560,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"GOSHEN MEDICAL CENTER, INC",FAISON,NC,C4,"$324,986 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38560,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"GOSHEN MEDICAL CENTER, INC",FAISON,NC,C4,"$44,114 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38536,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"Gaston Family Health Services,Inc.",GASTONIA,NC,C4,"$1,164,349 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E39018,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,GATEWAY COMMUNITY HEALTH CENTERS,GATESVILLE,NC,C4,"$85,286 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E39018,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,GATEWAY COMMUNITY HEALTH CENTERS,GATESVILLE,NC,C4,"$43,118 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38442,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"Triad Adult and Pediatric Medicine, Inc",GREENSBORO,NC,C4,"$63,429 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38442,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"Triad Adult and Pediatric Medicine, Inc",GREENSBORO,NC,C4,"$125,198 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38442,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"Triad Adult and Pediatric Medicine, Inc",GREENSBORO,NC,C4,"$143,462 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E37931,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"BLUE RIDGE COMMUNITY HEALTH SERVICE, INC",HENDERSONVILLE,NC,C4,"$145,288 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E37931,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"BLUE RIDGE COMMUNITY HEALTH SERVICE, INC",HENDERSONVILLE,NC,C4,"$561,021 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E37757,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"RURAL HEALTH GROUP, INC.",JACKSON,NC,C4,"$661,324 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38945,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"KINSTON COMMUNITY HEALTH CENTER, INC",KINSTON,NC,C4,"$168,975 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38945,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"KINSTON COMMUNITY HEALTH CENTER, INC",KINSTON,NC,C4,"$54,124 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38845,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,First Choice Community Health Centers,MAMERS,NC,C4,"$216,004 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38366,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,CRAVEN COUNTY GOVERNMENT,NEW BERN,NC,C4,"$176,629 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38029,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"TRI COUNTY COMMUNITY HEALTH COUNCIL, INC.",NEWTON GROVE,NC,C4,"$237,454 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38029,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"TRI COUNTY COMMUNITY HEALTH COUNCIL, INC.",NEWTON GROVE,NC,C4,"$276,960 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38646,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"OCRACOKE HEALTH CENTER, INC",OCRACOKE,NC,C4,"$33,455 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38646,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"OCRACOKE HEALTH CENTER, INC",OCRACOKE,NC,C4,"$97,484 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38525,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,NC ST DEPARTMENT OF HEALTH & HUMAN SERVICES,RALEIGH,NC,C4,"$247,744 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38409,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"Advance Community Health, Inc.",RALEIGH,NC,C4,"$331,826 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38409,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"Advance Community Health, Inc.",RALEIGH,NC,C4,"$41,978 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E37811,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"Opportunities Industrialization Center, Inc",ROCKY MOUNT,NC,C4,"$26,253 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E37811,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"Opportunities Industrialization Center, Inc",ROCKY MOUNT,NC,C4,"$22,870 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E37811,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"Opportunities Industrialization Center, Inc",ROCKY MOUNT,NC,C4,"$189,111 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38671,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,PERSON FAMILY MEDICAL CENTER,ROXBORO,NC,C4,"$184,234 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38212,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"GREENE COUNTY HEALTH CARE, INC",SNOWHILL,NC,C4,"$551,951 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38212,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"GREENE COUNTY HEALTH CARE, INC",SNOWHILL,NC,C4,"$115,463 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38182,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,STEDMAN WADE HEALTH SERVICES INC,WADE,NC,C4,"$199,519 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38755,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,ANSON REGIONAL MEDICAL SERVICES,WADESBORO,NC,C4,"$142,099 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38081,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"METROPOLITAN COMMUNITY HEALTH SERVICES, INC",WASHINGTON,NC,C4,"$176,434 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38086,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,WILKES COUNTY OF,WILKESBORO,NC,C4,"$153,964 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38449,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"NEW HANOVER COMMUNITY HEALTH CENTER, INC",WILMINGTON,NC,C4,"$177,570 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38449,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"NEW HANOVER COMMUNITY HEALTH CENTER, INC",WILMINGTON,NC,C4,"$34,429 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38380,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"Carolina Family Health Centers, Inc.",WILSON,NC,C4,"$221,222 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38380,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"Carolina Family Health Centers, Inc.",WILSON,NC,C4,"$159,212 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E37977,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,BERTIE COUNTY RURAL HEALTH ASSOCIATION,WINDSOR,NC,C4,"$146,014 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E37721,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,UNITED HEALTH CENTERS,WINSTON-SALEM,NC,C4,"$9,456 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E37721,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,UNITED HEALTH CENTERS,WINSTON-SALEM,NC,C4,"$195,223 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38075,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),5/5/2020,"CASWELL FAMILY MEDICAL CENTER, INC",YANCEYVILLE,NC,C4,"$166,189 "
ACL,93.048,"Special Programs for the Aging, Title IV, and Title II, Discretionary Projects",90NWC30030,North Carolina ADRC COVID-19 Relief Funding 2020-2021,5/1/2020,North Carolina Department of Health and Human Services,RALEIGH,NC,C3,"$1,700,000 "
HRSA,93.11,Maternal and Child Health Federal Consolidated Programs,H7E37564,Supporting Providers and Families to Access Telehealth and Distant Care Services for Maternal Health,4/28/2020,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,CHAPEL HILL,NC,C3,"$4,000,000 "
HRSA,93.301,Small Rural Hospital Improvement Grant Program,H3J37453,Coronavirus State Hospital Improvement Program,4/27/2020,NC ST DEPARTMENT OF HEALTH & HUMAN SERVICES,RALEIGH,NC,C3,"$84,317 "
IHS,93.21,Tribal Self-Governance Program: IHS Compacts/Funding Agreements ,65G020078,SELF-GOVERNANCE,4/27/2020,EASTERN BAND OF CHEROKEE INDIANS,CHEROKEE,NC,C3,"$224,809 "
ACF,93.55,Transitional Living for Homeless Youth,90CX7112,Transitional Living Program,4/24/2020,"HAVEN HOUSE, INC",RALEIGH,NC,C3,"$49,650 "
SAMHSA,93.829,Section 223 Demonstration Programs to Improve Community Mental Health Services,H79SM083115,Monarch's CCBHC Expansion Project FY2020,4/24/2020,MONARCH,ALBEMARLE,NC,C3,"$3,957,711 "
ACF,93.623,Basic Center Grant,90CY7076,Trinity Place Runaway and Homeless Youth Shelter (RHY),4/23/2020,"CARING FOR CHILDREN, INC",ASHEVILLE,NC,C3,"$40,000 "
ACF,93.623,Basic Center Grant,90CY7096,Basic Center Program,4/23/2020,RELATIVES (THE),CHARLOTTE,NC,C3,"$36,000 "
ACF,93.645,Stephanie Tubbs Jones Child Welfare Services Program,20PBNCCWC3,CWC3-2020,4/23/2020,EASTERN BAND OF CHEROKEE INDIANS,CHEROKEE,NC,C3,"$5,312 "
ACF,93.623,Basic Center Grant,90CY7061,"24/7 365 Emergency Youth Shelter for runaway, homeless, throwaway and street youth. The program provides residential care , counseling and supportive services to youth up to 21 days.",4/23/2020,"WITH FRIENDS, INC",GASTONIA,NC,C3,"$33,689 "
ACF,93.623,Basic Center Grant,90CY6984,Act Together Crisis Care,4/23/2020,"YOUTH FOCUS, INC",GREENSBORO,NC,C3,"$40,000 "
ACF,93.55,Transitional Living for Homeless Youth,90CX7124,My Sister Susan's House,4/23/2020,"YOUTH FOCUS, INC",GREENSBORO,NC,C3,"$50,629 "
ACF,93.55,Transitional Living for Homeless Youth,90CX7233,Youth Focus HEARTH Transitional Living Program,4/23/2020,"YOUTH FOCUS, INC",GREENSBORO,NC,C3,"$50,629 "
ACF,93.557,"Education and Prevention Grants to Reduce Sexual Abuse of Runaway, Homeless and Street Youth",90YO2288,Street Outreach Program,4/23/2020,"HAVEN HOUSE, INC",RALEIGH,NC,C3,"$17,352 "
ACF,93.645,Stephanie Tubbs Jones Child Welfare Services Program,2003NCCWC3,CWC3-2020,4/23/2020,NC ST DEPARTMENT OF HEALTH & HUMAN SERVICES,RALEIGH,NC,C3,"$1,593,398 "
ACF,93.55,Transitional Living for Homeless Youth,90CX7220,Maternity Group Home,4/23/2020,"HAVEN HOUSE, INC",RALEIGH,NC,C3,"$51,480 "
ACF,93.623,Basic Center Grant,90CY7084,Wrenn House,4/23/2020,"HAVEN HOUSE, INC",RALEIGH,NC,C3,"$40,000 "
ACF,93.623,Basic Center Grant,90CY7093,Basic Center Program,4/23/2020,"COASTAL HORIZONS CENTER, INC",WILMINGTON,NC,C3,"$35,000 "
ACF,93.55,Transitional Living for Homeless Youth,90CX7292,Transitional Living Program,4/23/2020,"COASTAL HORIZONS CENTER, INC",WILMINGTON,NC,C3,"$52,000 "
CDC,93.323,Epidemiology and Laboratory Capacity for Infectious Diseases (ELC),NU50CK000530,CK19-1904 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC),4/23/2020,North Carolina Department of Health and Human Services,RALEIGH,NC,C3,"$15,356,128 "
HRSA,93.253,Poison Center Support and Enhancement Grant,H4C37401,CARES Funding for Poison Centers,4/22/2020,CAROLINAS MEDICAL CENTER,CHARLOTTE,NC,C3,"$146,335 "
ACL,93.432,ACL Centers for Independent Living ,2003NCILC3,2020 ILC3 - CARES,4/20/2020,"MAINSTREAMING CONSULTANTS, INC.",CHARLOTTE,NC,C3,"$400,128 "
ACL,93.047,"Special Programs for the Aging, Title VI, Part A, Grants to Indian Tribes, Part B, Grants to Native Hawaiians",2001NCNAC3,NAC3-2020,4/20/2020,EASTERN BAND OF CHEROKEE INDIANS,CHEROKEE,NC,C3,"$88,920 "
ACL,93.052,"National Family Caregiver Support, Title III, Part E",2001NCFCC3,FCC3-2020,4/20/2020,North Carolina Department of Health and Human Services,RALEIGH,NC,C3,"$3,057,306 "
ACL,93.042,"Special Programs for the Aging, Title VII, Chapter 2, Long Term Care Ombudsman Services for Older Individuals",2001NCOMC3,OMC3-2020,4/20/2020,North Carolina Department of Health and Human Services,RALEIGH,NC,C3,"$615,785 "
ACL,93.432,ACL Centers for Independent Living ,2002NCILC3,2020 ILC3 - CARES,4/20/2020,UNIVERSAL DISABILITY ADVOCATES,RALEIGH,NC,C3,"$435,869 "
ACL,93.045,"Special Programs for the Aging, Title III, Part C, Nutrition Services",2001NCHDC3,HDC3-2020,4/20/2020,North Carolina Department of Health and Human Services,RALEIGH,NC,C3,"$14,778,843 "
ACL,93.044,"Special Programs for the Aging, Title III, Part B, Grants for Supportive Services and Senior Centers",2001NCSSC3,SSC3-2020,4/20/2020,North Carolina Department of Health and Human Services,RALEIGH,NC,C3,"$6,157,851 "
ACL,93.432,ACL Centers for Independent Living ,2005NCILC3,2020 ILC3 - CARES,4/20/2020,Pathways for the Future Inc,SYLVA,NC,C3,"$379,714 "
ACL,93.432,ACL Centers for Independent Living ,2006NCILC3,2020 ILC3 - CARES,4/20/2020,Pathways for the Future Inc,SYLVA,NC,C3,"$379,733 "
ACL,93.432,ACL Centers for Independent Living ,2007NCILC3,2020 ILC3 - CARES,4/20/2020,DISABILITY RESOURCE CENTER,WILMINGTON,NC,C3,"$243,693 "
ACL,93.432,ACL Centers for Independent Living ,2001NCILC3,2020 ILC3 - CARES,4/20/2020,"THE ADAPTABLES, INC.",WINSTON-SALEM,NC,C3,"$387,374 "
HRSA,93.301,Small Rural Hospital Improvement Grant Program,H3J37453,Coronavirus State Hospital Improvement Program,4/20/2020,NC ST DEPARTMENT OF HEALTH & HUMAN SERVICES,RALEIGH,NC,C3,"$2,529,510 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36384,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/16/2020,"METROPOLITAN COMMUNITY HEALTH SERVICES, INC",WASHINGTON,NC,C3,$0 
NIH,93.855,Allergy and Infectious Diseases Research,U19AI100625,Systems Immunogenetics of Biodefense and Emerging Pathogens in the Collaborative Cross,4/16/2020,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,CHAPEL HILL,NC,CV,"$563,507 "
SAMHSA,93.665,Emergency Grants to Address Mental and Substance Use Disorders During COVID-19,H79FG000190,NC Emergency COVID-19,4/16/2020,North Carolina Department of Health and Human Services,RALEIGH,NC,C3,"$2,000,000 "
ACF,93.575,Child Care and Development Block Grant,20PBNCCCC3,CCC3-2020,4/13/2020,EASTERN BAND OF CHEROKEE INDIANS,CHEROKEE,NC,C3,"$369,176 "
ACF,93.575,Child Care and Development Block Grant,2001NCCCC3,CCC3-2020,4/13/2020,NC ST DEPARTMENT OF HEALTH & HUMAN SERVICES,RALEIGH,NC,C3,"$118,135,976 "
HRSA,93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,H7C37103,Ryan White HIV/AIDS Program Part C EIS COVID-19 Response,4/13/2020,"WESTERN NC COMMUNITY HEALTH SERVICES, INC",ASHEVILLE,NC,C3,"$95,000 "
HRSA,93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",H1X37062,Ryan White HIV/AIDS Program Part D WICY COVID-19 Response,4/13/2020,"WESTERN NC COMMUNITY HEALTH SERVICES, INC",ASHEVILLE,NC,C3,"$33,913 "
HRSA,93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,H7C37225,Ryan White HIV/AIDS Program Part C EIS COVID-19 Response,4/13/2020,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,CHAPEL HILL,NC,C3,"$132,453 "
HRSA,93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",H1X37071,Ryan White HIV/AIDS Program Part D WICY COVID-19 Response,4/13/2020,"C.W. Williams Community Health Center, Inc.",CHARLOTTE,NC,C3,"$20,000 "
HRSA,93.914,HIV Emergency Relief Project Grants,H9A36933,Ryan White HIV/AIDS Program Part A COVID-19 Response,4/13/2020,MECKLENBURG COUNTY DEPARTMENT OF SOCIAL SERVICES,CHARLOTTE,NC,C3,"$314,879 "
HRSA,93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,H7C37249,Ryan White HIV/AIDS Program Part C EIS COVID-19 Response,4/13/2020,"Quality Home Care Services, Inc",CHARLOTTE,NC,C3,"$51,000 "
HRSA,93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",H1X36977,Ryan White HIV/AIDS Program Part D WICY COVID-19 Response,4/13/2020,Duke University,DURHAM,NC,C3,"$37,714 "
HRSA,93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,H7C37165,Ryan White HIV/AIDS Program Part C EIS COVID-19 Response,4/13/2020,"LINCOLN COMMUNITY HEALTH CENTER, INC",DURHAM,NC,C3,"$77,125 "
HRSA,93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,H7C36817,Ryan White HIV/AIDS Program Part C EIS COVID-19 Response,4/13/2020,ROBESON HEALTH CARE CORPORATION,FAIRMONT,NC,C3,"$62,000 "
HRSA,93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",H1X36978,Ryan White HIV/AIDS Program Part D WICY COVID-19 Response,4/13/2020,Central Carolina Health Network,GREENSBORO,NC,C3,"$32,356 "
HRSA,93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,H7C37181,Ryan White HIV/AIDS Program Part C EIS COVID-19 Response,4/13/2020,EAST CAROLINA UNIVERSITY,GREENVILLE,NC,C3,"$43,278 "
HRSA,93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",H1X36992,Ryan White HIV/AIDS Program Part D WICY COVID-19 Response,4/13/2020,EAST CAROLINA UNIVERSITY,GREENVILLE,NC,C3,"$43,406 "
HRSA,93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,H7C37220,Ryan White HIV/AIDS Program Part C EIS COVID-19 Response,4/13/2020,EAST CAROLINA UNIVERSITY,GREENVILLE,NC,C3,"$76,189 "
HRSA,93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,H7C37184,Ryan White HIV/AIDS Program Part C EIS COVID-19 Response,4/13/2020,WARREN-VANCE COMMUNITY HEALTH CENTER INC,HENDERSON,NC,C3,"$64,750 "
HRSA,93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,H7C36778,Ryan White HIV/AIDS Program Part C EIS COVID-19 Response,4/13/2020,CATAWBA VALLEY MEDICAL CENTER,HICKORY,NC,C3,"$74,375 "
HRSA,93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",H1X36991,Ryan White HIV/AIDS Program Part D WICY COVID-19 Response,4/13/2020,"TRI COUNTY COMMUNITY HEALTH COUNCIL, INC.",NEWTON GROVE,NC,C3,"$34,558 "
HRSA,93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,H7C37256,Ryan White HIV/AIDS Program Part C EIS COVID-19 Response,4/13/2020,"TRI COUNTY COMMUNITY HEALTH COUNCIL, INC.",NEWTON GROVE,NC,C3,"$74,375 "
HRSA,93.917,HIV Care Formula Grants,X7C36860,Ryan White HIV/AIDS Program Part B COVID-19 Response,4/13/2020,NC ST DEPARTMENT OF HEALTH & HUMAN SERVICES,RALEIGH,NC,C3,"$1,060,854 "
HRSA,93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,H7C37198,Ryan White HIV/AIDS Program Part C EIS COVID-19 Response,4/13/2020,WAKE COUNTY DEPARTMENT OF HEALTH,RALEIGH,NC,C3,"$113,696 "
HRSA,93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,H7C37260,Ryan White HIV/AIDS Program Part C EIS COVID-19 Response,4/13/2020,NEW HANOVER REGIONAL MEDICAL CENTER,WILMINGTON,NC,C3,"$100,500 "
HRSA,93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",H1X37032,Ryan White HIV/AIDS Program Part D WICY COVID-19 Response,4/13/2020,NEW HANOVER REGIONAL MEDICAL CENTER,WILMINGTON,NC,C3,"$23,818 "
HRSA,93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,H7C36782,Ryan White HIV/AIDS Program Part C EIS COVID-19 Response,4/13/2020,"Carolina Family Health Centers, Inc.",WILSON,NC,C3,"$79,875 "
HRSA,93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,H7C36820,Ryan White HIV/AIDS Program Part C EIS COVID-19 Response,4/13/2020,WAKE FOREST UNIVERSITY HEALTH SCIENCES,WINSTON SALEM,NC,C3,"$115,138 "
HRSA,93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",H1X37057,Ryan White HIV/AIDS Program Part D WICY COVID-19 Response,4/13/2020,WAKE FOREST UNIVERSITY HEALTH SCIENCES,WINSTON SALEM,NC,C3,"$36,623 "
DHHS/OS,93.889,National Bioterrorism Hospital Preparedness Program,U3REP200659,North Carolina Rural Hospital COVID Support,4/10/2020,"North Carolina Healthcare Foundation, Inc. ",CARY,NC,CV,"$1,277,622 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36488,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",4/6/2020,Roanoke Chowan Community Health Center Inc,AHOSKIE,NC,C3,"$298,385 "
