Provider Name,City,State,Claims Paid By Treatment,Claims Paid By Testing
ASSOCIATED PHYSICIANS,SHARON,MA,$0 ,$125 
SAINT VINCENT PHYSICIA,SHREWSBURY,MA,$115 ,$102 
CAMBRIDGE PUBLIC HEALT,SOMERVILLE,MA,"$1,056,787 ","$1,142,254 "
CAMBRIDGE PUBLIC HEALT,SOMERVILLE,MA,"$2,347 ",$369 
CATALDO AMBULANCE SERV,SOMERVILLE,MA,"$85,007 ",$0 
MASSACHUSETTS GENERAL,SOMERVILLE,MA,$86 ,$0 
MASSACHUSETTS GENERAL,SOMERVILLE,MA,$85 ,$0 
COOLEY DICKENSON,SOUTH DEERFIELD,MA,$0 ,$54 
COASTAL MEDICAL ASSOCI,SOUTH WEYMOUTH,MA,"$4,705 ","$3,791 "
HARBOR MEDICAL ASSOC P,SOUTH WEYMOUTH,MA,$0 ,$282 
SOUTH SHORE HOSPITAL,SOUTH WEYMOUTH,MA,$870 ,"$8,262 "
SOUTH SHORE HOSPITAL,SOUTH WEYMOUTH,MA,"$27,734 ","$38,130 "
ASSOCIATED PHYSICIANS,SOUTHBRIDGE,MA,"$2,192 ","$13,509 "
ASSOCIATED PHYSICIANS,SOUTHBRIDGE,MA,$0 ,$901 
HARRINGTON MEMORIAL HO,SOUTHBRIDGE,MA,"$17,280 ",$0 
HARVARD MEDICAL PHYSIC,SOUTHBRIDGE,MA,$162 ,$10 
BAYSTATE MEDICAL CENTE,SPRINGFIELD,MA,"$30,164 ","$1,918 "
BAYSTATE MEDICAL EDUCA,SPRINGFIELD,MA,$50 ,$0 
BAYSTATE MEDICAL EDUCA,SPRINGFIELD,MA,"$2,260 ",$0 
BAYSTATE MEDICAL EDUCA,SPRINGFIELD,MA,$150 ,$0 
BAYSTATE MEDICAL EDUCA,SPRINGFIELD,MA,"$1,622 ",$0 
BAYSTATE REFERENCE LAB,SPRINGFIELD,MA,$0 ,"$2,464 "
BRIGHAM AND WOMENS PHY,SPRINGFIELD,MA,$980 ,"$1,128 "
MERCY INPATIENT MEDICA,SPRINGFIELD,MA,$646 ,"$15,283 "
MERCY MEDICAL CENTER,SPRINGFIELD,MA,"$24,987 ","$66,602 "
MERCY MEDICAL CENTER,SPRINGFIELD,MA,"$33,037 ","$28,742 "
RIVERBEND MEDICAL GROU,SPRINGFIELD,MA,$55 ,$0 
SOUND PHYSICIANS OF MA,SPRINGFIELD,MA,"$1,370 ",$0 
SPRINGFIELD ANESTHESIA,SPRINGFIELD,MA,$109 ,$0 
NORTH JERSEY PRIMARY C,STERLING,MA,"$1,405 ",$70 
UMASS MEMORIAL MEDICAL,STERLING,MA,$0 ,$24 
DOCTORS EXPRESS URGENT,STONEHAM,MA,$0 ,$637 
PARTNERS COMMUNITY PHY,STONEHAM,MA,$0 ,$238 
WINCHESTER PHYSICIAN A,STONEHAM,MA,$0 ,$86 
UMASS MEMORIAL MEDICAL,SUTTON,MA,$0 ,$48 
SOUTHCOAST PHYSICIAN S,SWANSEA,MA,$0 ,$54 
FOUNDATION MEDICAL PAR,TAUNTON,MA,$232 ,$0 
MORTON HOSPITAL A STEW,TAUNTON,MA,"$27,956 ","$39,138 "
PEDIATRIC ASSOCIATES A,TAUNTON,MA,$243 ,$216 
SOUTHCOAST PHYSICIAN S,TAUNTON,MA,$137 ,$130 
STEWARD EMERGENCY PHYS,TAUNTON,MA,$0 ,"$1,386 "
STEWARD MEDICAL GROUP,TAUNTON,MA,"$1,791 ",$0 
UMASS MEMORIAL MEDICAL,UXBRIDGE,MA,$219 ,$0 
NEWTON WELLESLEY AMBUL,WALPOLE,MA,$366 ,"$1,201 "
DOCTORS EXPRESS URGENT,WALTHAM,MA,"$2,217 ","$43,071 "
MASSACHUSETTS GENERAL,WALTHAM,MA,$66 ,$0 
MASSACHUSETTS GENERAL,WALTHAM,MA,$81 ,$0 
MASSACHUSETTS GENERAL,WALTHAM,MA,$730 ,$0 
MASSACHUSETTS GENERAL,WALTHAM,MA,$854 ,$28 
NEWTON WELLESLEY AMBUL,WALTHAM,MA,$99 ,$282 
FIRST PHYSICIANS CORPO,WAREHAM,MA,"$2,693 ","$32,224 "
GREATER NEW BEDFORD CO,WAREHAM,MA,$0 ,$21 
SOUTHCOAST HOSPITAL GR,WAREHAM,MA,"$2,595 ","$9,969 "
SOUTHCOAST PHYSICIAN S,WAREHAM,MA,"$1,432 ","$2,341 "
PARTNERS URGENT CARE L,WATERTOWN,MA,$179 ,"$2,152 "
STEWARD MEDICAL GROUP,WATERTOWN,MA,$159 ,$0 
UMASS MEMORIAL MEDICAL,WEBSTER,MA,$0 ,$125 
JONATHAN SNIDER,WELLESLEY,MA,$152 ,$0 
NEWTON WELLESLEY AMBUL,WELLESLEY,MA,$228 ,$209 
UNIVERSITY HOSPITAL UM,WELLESLEY,MA,"$1,035 ","$3,871 "
MASSACHUSETTS GENERAL,WELLESLEY HILLS,MA,$136 ,$0 
MASSACHUSETTS GENERAL,WELLESLEY HILLS,MA,$178 ,$0 
NEWTON WELLESLEY AMBUL,WELLESLEY HILLS,MA,$0 ,$189 
OUTER CAPE HEALTH SERV,WELLFLEET,MA,$23 ,$348 
BAYSTATE MEDICAL EDUCA,WEST SPRINGFIELD,MA,$100 ,$0 
SPRINGFIELD ANESTHESIA,WEST SPRINGFIELD,MA,$153 ,$0 
6 PALO ALTO MEDICAL FO,WESTBOROUGH,MA,$0 ,$519 
ESSEX INPATIENT PHYSIC,WESTBOROUGH,MA,$136 ,$0 
METHODIST ASSOCIATES I,WESTBOROUGH,MA,"$6,128 ",$0 
UMASS MEMORIAL MEDICAL,WESTBOROUGH,MA,$154 ,$0 
BAYSTATE NOBLE HOSPITA,WESTFIELD,MA,$362 ,$0 
RIVERBEND MEDICAL GROU,WESTFIELD,MA,$0 ,$152 
WESTFIELD EMERGENCY PH,WESTFIELD,MA,"$1,104 ","$7,573 "
CIRCLE HEALTH URGENT C,WESTFORD,MA,$127 ,"$8,550 "
HEYWOOD MEDICAL GROUP,WESTMINSTER,MA,$98 ,$0 
COMMUNITY HOSPITAL GRO,WESTWOOD,MA,$90 ,$0 
HOSPITALIST PHYSICIANS,WESTWOOD,MA,"$175,143 ",$0 
COASTAL MEDICAL ASSOCI,WEYMOUTH,MA,"$10,046 ","$8,673 "
EASCARE AMBULANCE LLC,WEYMOUTH,MA,"$2,650 ",$0 
SOUTH SHORE HEALTH EXP,WEYMOUTH,MA,$0 ,$799 
SOUTH SHORE MEDICAL CE,WEYMOUTH,MA,$0 ,$27 
STEWARD MEDICAL GROUP,WHITMAN,MA,$291 ,$0 
RIVERBEND MEDICAL GROU,WILBRAHAM,MA,$0 ,$111 
LAHEY CLINIC INC,WILMINGTON,MA,$0 ,$56 
WINCHESTER PHYSICIAN A,WILMINGTON,MA,$235 ,$56 
WINCHESTER EMERGENCY,WINCHESTER,MA,$0 ,"$1,263 "
WINCHESTER EMERGENCY,WINCHESTER,MA,$0 ,"$5,775 "
WINCHESTER HOSPITAL,WINCHESTER,MA,"$1,325 ","$6,098 "
WINCHESTER HOSPITAL,WINCHESTER,MA,"$1,317 ","$5,159 "
WINCHESTER PHYSICIAN A,WINCHESTER,MA,$0 ,$315 
HARVARD MEDICAL PHYSIC,WOBURN,MA,$10 ,$10 
MOUNT AUBURN PROFESSIO,WOBURN,MA,$0 ,$242 
WINCHESTER PHYSICIAN A,WOBURN,MA,$83 ,$87 
ASSOCIATED PHYSICIANS,WORCESTER,MA,$931 ,"$11,813 "
ASSOCIATED PHYSICIANS,WORCESTER,MA,$431 ,"$1,604 "
CAMBRIDGE PUBLIC HEALT,WORCESTER,MA,"$1,592 ",$56 
EDWARD M KENNEDY COMMU,WORCESTER,MA,$46 ,$0 
MAINE MEDICAL CENTER,WORCESTER,MA,$0 ,$109 
MAINE MEDICAL CENTER,WORCESTER,MA,$198 ,$75 
MASSACHUSETTS GENERAL,WORCESTER,MA,$19 ,$0 
PHYSICIANS OF CAPE COD,WORCESTER,MA,$0 ,$291 
ST VINCENT RADIOLOGICA,WORCESTER,MA,$182 ,$10 
UMASS MEMORIAL MEDICAL,WORCESTER,MA,"$10,753 ","$3,795 "
UMASS MEMORIAL MEDICAL,WORCESTER,MA,"$10,602 ","$19,174 "
UMASS MEMORIAL MEDICAL,WORCESTER,MA,$0 ,$79 
UMASS MEMORIAL MEDICAL,WORCESTER,MA,$852 ,$0 
UMASS MEMORIAL MEDICAL,WORCESTER,MA,"$210,150 ","$183,521 "
VHS ACQUISITION SUBSID,WORCESTER,MA,"$34,797 ","$50,513 "
PATIENT FIRST,ABERDEEN,MD,$300 ,"$6,281 "
PATIENT FIRST,ABERDEEN,MD,$0 ,"$2,414 "
AAMC COMMUNITY CLINICS,ANNAPOLIS,MD,"$3,989 ",$0 
ANNAPOLIS INFECTIOUS D,ANNAPOLIS,MD,"$20,085 ",$0 
ANNE ARUNDEL MEDICAL C,ANNAPOLIS,MD,"$2,002,071 ",$0 
ANNE ARUNDEL PHYSICIAN,ANNAPOLIS,MD,"$107,073 ",$0 
DOCTORS EMERGENCY SERV,ANNAPOLIS,MD,"$13,906 ","$12,278 "
JOHNS HOPKINS UNIVERSI,ANNAPOLIS,MD,$9 ,$0 
MARYLAND PRIMARY CARE,ANNAPOLIS,MD,$55 ,$0 
MARYLAND PRIMARY CARE,ANNAPOLIS,MD,$0 ,$118 
MDICS AT ANNE ARUNDEL,ANNAPOLIS,MD,"$2,852 ",$0 
MEDSTAR MEDICAL GROUP,ANNAPOLIS,MD,$100 ,$0 
PATIENT FIRST,ANNAPOLIS,MD,$100 ,"$12,387 "
PATIENT FIRST,ANNAPOLIS,MD,$0 ,"$2,462 "
PRIVIA MEDICAL GROUP,ANNAPOLIS,MD,$111 ,$55 
WASHINGTON NEPHROLOGY,ANNAPOLIS,MD,"$2,237 ",$0 
MARYLAND PRIMARY CARE,ARNOLD,MD,$0 ,$588 
MARYLAND PRIMARY CARE,ARNOLD,MD,$0 ,"$1,079 "
PRIVIA MEDICAL GROUP,ARNOLD,MD,$170 ,$0 
PRIVIA MEDICAL GROUP,ARNOLD,MD,$85 ,$0 
ADVANCED RADIOLOGY,BALTIMORE,MD,$289 ,$0 
ADVANCED RADIOLOGY,BALTIMORE,MD,$311 ,$20 
ALICE OPERATOR LLC,BALTIMORE,MD,"$26,277 ",$0 
BALTIMORE MEDICAL SYST,BALTIMORE,MD,"$3,165 ",$592 
BALTIMORE MEDICAL SYST,BALTIMORE,MD,$323 ,$163 
BALTIMORE MEDICAL SYST,BALTIMORE,MD,"$2,652 ","$1,050 "
BALTIMORE MEDICAL SYST,BALTIMORE,MD,"$3,051 ",$427 
BALTIMORE MEDICAL SYST,BALTIMORE,MD,"$1,638 ",$688 
BALTIMORE MEDICAL SYST,BALTIMORE,MD,$137 ,$220 
CHARLES EMERGENCY PHYS,BALTIMORE,MD,"$1,393 ","$5,896 "
COMPTROLLER OF MD MARY,BALTIMORE,MD,"$440,693 ",$0 
DOCTORS EMERGENCY SERV,BALTIMORE,MD,$833 ,$364 
DOCTORS EMERGENCY SERV,BALTIMORE,MD,$446 ,$129 
DOCTORS EMERGENCY SERV,BALTIMORE,MD,$704 ,$0 
EMERGENCY PHYSICIANS S,BALTIMORE,MD,"$1,078 ","$1,623 "
FAMILY HEALTH CENTERS,BALTIMORE,MD,$300 ,"$1,116 "
FAMILY HEALTH CENTERS,BALTIMORE,MD,"$1,205 ","$7,675 "
FAMILY HEALTH CENTERS,BALTIMORE,MD,$118 ,"$1,423 "
FAMILY HEALTH CENTERS,BALTIMORE,MD,$111 ,$270 
GREATER BALTIMORE MEDI,BALTIMORE,MD,"$24,151 ",$0 
HARBOR HOSPITAL,BALTIMORE,MD,"$682,700 ","$48,403 "
HARBOR HOSPITAL,BALTIMORE,MD,"$157,348 ","$5,272 "
JAMES LAWRENCE KERNAN,BALTIMORE,MD,$0 ,$277 
JOHNS HOPKINS BAYVIEW,BALTIMORE,MD,"$1,643,869 ","$272,990 "
JOHNS HOPKINS BAYVIEW,BALTIMORE,MD,"$169,865 ","$22,132 "
JOHNS HOPKINS COMMUNIT,BALTIMORE,MD,"$5,005 ",$0 
JOHNS HOPKINS COMMUNIT,BALTIMORE,MD,"$4,135 ",$0 
JOHNS HOPKINS COMMUNIT,BALTIMORE,MD,$78 ,$0 
JOHNS HOPKINS COMMUNIT,BALTIMORE,MD,$55 ,$0 
JOHNS HOPKINS UNIVERSI,BALTIMORE,MD,"$3,397 ",$9 
JOHNS HOPKINS UNIVERSI,BALTIMORE,MD,"$119,519 ","$2,481 "
JOHNS HOPKINS UNIVERSI,BALTIMORE,MD,$237 ,$12 
JOHNS HOPKINS UNIVERSI,BALTIMORE,MD,"$219,509 ","$7,687 "
JOHNS HOPKINS UNIVERSI,BALTIMORE,MD,$319 ,$0 
JOHNS HOPKINS UNIVERSI,BALTIMORE,MD,$642 ,$0 
MARYLAND EMERGENCY MED,BALTIMORE,MD,"$1,161 ",$194 
MARYLAND FAMILY CARE I,BALTIMORE,MD,"$2,596 ",$0 
MARYLAND GENERAL,BALTIMORE,MD,"$14,481 ","$19,915 "
MARYLAND GENERAL,BALTIMORE,MD,$0 ,"$3,703 "
MARYLAND KIDNEY GROUP,BALTIMORE,MD,"$2,309 ",$0 
MARYLAND KIDNEY GROUP,BALTIMORE,MD,"$1,554 ",$0 
MEDSTAR FRANKLIN SQUAR,BALTIMORE,MD,"$2,651 ",$0 
MEDSTAR FRANKLIN SQUAR,BALTIMORE,MD,"$13,507 ",$91 
MEDSTAR FRANKLIN SQUAR,BALTIMORE,MD,"$748,283 ","$27,015 "
MEDSTAR GEORGETOWN MED,BALTIMORE,MD,"$2,591 ",$0 
MEDSTAR GOOD SAMARITAN,BALTIMORE,MD,$278 ,$0 
MEDSTAR GOOD SAMARITAN,BALTIMORE,MD,"$2,151 ",$0 
MEDSTAR GOOD SAMARITAN,BALTIMORE,MD,"$506,140 ","$41,380 "
MEDSTAR GOOD SAMARITAN,BALTIMORE,MD,"$3,048 ",$0 
MEDSTAR HARBOR HOSPITA,BALTIMORE,MD,$0 ,$135 
MEDSTAR HARBOR HOSPITA,BALTIMORE,MD,"$2,051 ",$18 
MEDSTAR MEDICAL GROUP,BALTIMORE,MD,"$1,430 ",$18 
MEDSTAR MEDICAL GROUP,BALTIMORE,MD,$371 ,$0 
MEDSTAR MEDICAL GROUP,BALTIMORE,MD,$82 ,$0 
MEDSTAR MEDICAL GROUP,BALTIMORE,MD,"$3,104 ",$18 
MEDSTAR MEDICAL GROUP,BALTIMORE,MD,$37 ,$0 
MEDSTAR MEDICAL GROUP,BALTIMORE,MD,$850 ,$27 
MEDSTAR MEDICAL GROUP,BALTIMORE,MD,$151 ,$9 
MEDSTAR PROMPT CARE,BALTIMORE,MD,"$17,085 ","$57,054 "
MEDSTAR PROMPT CARE,BALTIMORE,MD,"$115,485 ","$198,920 "
MEDSTAR UNION MEMORIAL,BALTIMORE,MD,$648 ,$0 
MEDSTAR UNION MEMORIAL,BALTIMORE,MD,$82 ,$0 
MEDSTAR UNION MEMORIAL,BALTIMORE,MD,"$509,486 ","$25,421 "
MEDSTAR UNION MEMORIAL,BALTIMORE,MD,"$4,416 ",$65 
MERCY MEDICAL CENTER,BALTIMORE,MD,"$4,760 ","$1,186 "
MERCY MEDICAL CENTER,BALTIMORE,MD,"$199,165 ","$9,891 "
ODEPA,BALTIMORE,MD,"$14,647 ","$26,150 "
ODEPA,BALTIMORE,MD,$197 ,"$1,334 "
PATIENT FIRST,BALTIMORE,MD,$0 ,$50 
PATIENT FIRST,BALTIMORE,MD,$0 ,$200 
PATIENT FIRST,BALTIMORE,MD,$0 ,$350 
PULMONARY AND CRITICAL,BALTIMORE,MD,"$15,402 ",$0 
SETON MEDICAL GROUP IN,BALTIMORE,MD,$0 ,$138 
SETON MEDICAL GROUP IN,BALTIMORE,MD,$0 ,$82 
SHENANDOAH MEMORIAL HO,BALTIMORE,MD,$538 ,"$1,208 "
ST AGNES ANESTHESIA,BALTIMORE,MD,"$328,090 ","$65,406 "
ST AGNES ANESTHESIA,BALTIMORE,MD,"$290,274 ","$56,035 "
ST PAUL PLACE SPECIALI,BALTIMORE,MD,"$2,929 ",$118 
THE JOHNS HOPKINS HOSP,BALTIMORE,MD,"$4,312,970 ","$572,646 "
UNIVERSITY OF MARYLAND,BALTIMORE,MD,"$80,380 ","$54,730 "
VICTORY MEDICAL CENTER,BALTIMORE,MD,$0 ,$738 
WARREN MEMORIAL HOSPIT,BALTIMORE,MD,$121 ,"$1,361 "
WASHINGTON HOSPITAL CE,BALTIMORE,MD,$426 ,$0 
WASHINGTON HOSPITAL CE,BALTIMORE,MD,$748 ,$708 
WASHINGTON HOSPITAL CE,BALTIMORE,MD,$449 ,$319 
WHC PHYSICIAN GROUP LL,BALTIMORE,MD,"$4,686 ","$2,887 "
WHC PHYSICIAN GROUP LL,BALTIMORE,MD,"$2,356 ","$3,190 "
WHC PHYSICIAN GROUP LL,BALTIMORE,MD,"$57,732 ","$64,374 "
WHC PHYSICIAN GROUP LL,BALTIMORE,MD,"$1,988 ","$3,842 "
WHC PHYSICIAN GROUP LL,BALTIMORE,MD,$0 ,$110 
WINCHESTER MEDICAL CEN,BALTIMORE,MD,$697 ,$351 
MEDSTAR MEDICAL GROUP,BEL AIR,MD,$100 ,$0 
MEDSTAR UNION MEMORIAL,BEL AIR,MD,$821 ,$0 
MNR INDUSTRIES LLC,BEL AIR,MD,"$26,003 ","$110,542 "
MNR INDUSTRIES LLC,BEL AIR,MD,"$4,591 ","$29,081 "
PATIENT FIRST,BEL AIR,MD,$0 ,$269 
PATIENT FIRST,BEL AIR,MD,$0 ,$99 
PATIENT FIRST,BEL AIR,MD,$143 ,"$8,816 "
PATIENT FIRST,BEL AIR,MD,$0 ,"$1,462 "
PULMONARY AND CRITICAL,BEL AIR,MD,$928 ,$0 
UPPER CHESAPEAKE EMERG,BEL AIR,MD,"$1,673 ","$20,536 "
UPPER CHESAPEAKE MEDIC,BEL AIR,MD,"$29,509 ","$38,168 "
JOHNS HOPKINS COMMUNIT,BELCAMP,MD,$119 ,$0 
JOHNS HOPKINS UNIVERSI,BELCAMP,MD,$27 ,$0 
PATIENT FIRST,BELTSVILLE,MD,$54 ,"$7,830 "
PATIENT FIRST,BELTSVILLE,MD,$54 ,$911 
THERANOSTIX INC,BELTSVILLE,MD,$200 ,"$10,200 "
THERANOSTIX INC,BELTSVILLE,MD,"$36,551 ","$434,283 "
ATLANTIC GENERAL HOSPI,BERLIN,MD,"$308,253 ","$2,650 "
EMERGENCY SERVICE  ASS,BERLIN,MD,$460 ,"$6,955 "
EXPRESS HEALTHCARE INC,BERWYN HEIGHTS,MD,"$4,800 ","$59,951 "
ALEXANDRIA IMMEDIATE C,BETHESDA,MD,$126 ,$643 
BETHESDA EMERGENCY ASS,BETHESDA,MD,"$22,572 ",$0 
JOHNS HOPKINS COMMUNIT,BETHESDA,MD,$399 ,$0 
JOHNS HOPKINS COMMUNIT,BETHESDA,MD,"$57,889 ",$0 
JOHNS HOPKINS UNIVERSI,BETHESDA,MD,"$5,329 ",$640 
JOHNS HOPKINS UNIVERSI,BETHESDA,MD,"$4,049 ",$0 
MEDSTAR MEDICAL GROUP,BETHESDA,MD,$106 ,$0 
PRIVIA MEDICAL GROUP,BETHESDA,MD,$87 ,"$1,092 "
PRIVIA MEDICAL GROUP,BETHESDA,MD,$0 ,$481 
SUBURBAN HOSPITAL,BETHESDA,MD,"$151,129 ","$5,063 "
SUBURBAN HOSPITAL,BETHESDA,MD,"$212,978 ","$104,419 "
ANNAPATH INC,BOWIE,MD,$123 ,"$7,261 "
ANNAPATH INC,BOWIE,MD,$0 ,$864 
DIMENSIONS HEALTHCARE,BOWIE,MD,"$2,893 ","$6,359 "
DIMENSIONS HEALTHCARE,BOWIE,MD,"$4,402 ","$15,837 "
MARYLAND EMERGENCY MED,BOWIE,MD,$645 ,$266 
MARYLAND PRIMARY CARE,BOWIE,MD,$0 ,$148 
PATIENT FIRST,BOWIE,MD,$0 ,$751 
PATIENT FIRST,BOWIE,MD,$214 ,"$4,669 "
MEDSTAR MEDICAL GROUP,BRANDYWINE,MD,$0 ,$83 
FAMILY HEALTH CENTERS,BROOKLYN,MD,"$6,360 ","$19,002 "
FAMILY HEALTH CENTERS,BROOKLYN,MD,$271 ,"$3,395 "
MEDSTAR HARBOR HOSPITA,BROOKLYN,MD,$415 ,$0 
PRIVIA MEDICAL GROUP,BRUNSWICK,MD,$0 ,$27 
PPNS,BURTONSVILLE,MD,"$1,529 ","$18,216 "
PPNS,BURTONSVILLE,MD,"$7,401 ","$73,316 "
EASTERN SHORE EMERGENC,CAMBRIDGE,MD,$361 ,$0 
PRIVIA MEDICAL GROUP,CAMBRIDGE,MD,$0 ,"$1,384 "
SHORE BAYY HOSPITALIST,CAMBRIDGE,MD,"$11,367 ",$0 
SHORE HEALTH SYSTEM,CAMBRIDGE,MD,"$1,529 ",$0 
SHORE HEALTH SYSTEM,CAMBRIDGE,MD,"$3,652 ","$9,968 "
PATIENT FIRST,CATONSVILLE,MD,$0 ,$259 
PATIENT FIRST,CATONSVILLE,MD,$50 ,$949 
PRIVIA MEDICAL GROUP,CATONSVILLE,MD,$0 ,$242 
SETON MEDICAL GROUP IN,CATONSVILLE,MD,$349 ,$381 
CHESTER RIVER HOSPITAL,CHESTERTOWN,MD,"$4,057 ","$8,008 "
SHORE BAYY HOSPITALIST,CHESTERTOWN,MD,$370 ,$0 
UM COMMUNITY MEDICAL G,CHESTERTOWN,MD,$0 ,$82 
CHEVERLY PRIMARY CARE,CHEVERLY,MD,"$15,209 ","$14,693 "
CHEVERLY PRIMARY CARE,CHEVERLY,MD,"$2,677 ","$6,657 "
DIMENSIONS HEALTHCARE,CHEVERLY,MD,"$266,448 ","$31,888 "
DIMENSIONS HEALTHCARE,CHEVERLY,MD,"$311,261 ","$143,988 "
MARYLAND EMERGENCY MED,CHEVERLY,MD,"$3,910 ","$6,187 "
HOLYCROSS ANESTHESIOLO,CHEVY CHASE,MD,"$4,595 ",$0 
JOHNS HOPKINS COMMUNIT,CHEVY CHASE,MD,$10 ,$0 
PRIVIA MEDICAL GROUP,CHEVY CHASE,MD,$98 ,$612 
PRIVIA MEDICAL GROUP,CHEVY CHASE,MD,"$1,165 ","$3,935 "
CARE FOR YOUR HEALTH I,CLARKSVILLE,MD,$339 ,$0 
CRUZ LEE LLACER AND AS,CLINTON,MD,$499 ,$0 
KUCHIBHOTLA SUBBARAO,CLINTON,MD,"$3,242 ",$0 
MEDSTAR GEORGETOWN MED,CLINTON,MD,"$23,572 ",$0 
MEDSTAR HEART INSTITUT,CLINTON,MD,$81 ,$0 
MEDSTAR MEDICAL GROUP,CLINTON,MD,"$1,267 ",$43 
MEDSTAR MEDICAL GROUP,CLINTON,MD,"$2,098 ",$54 
MEDSTAR SOUTHERN MARYL,CLINTON,MD,"$1,162,560 ","$46,086 "
MMG ANESTHESIOLOGY LLC,CLINTON,MD,"$5,279 ",$0 
PATIENT FIRST,CLINTON,MD,$0 ,$216 
PATIENT FIRST,CLINTON,MD,$0 ,$833 
WASHINGTON HOSPITAL CE,CLINTON,MD,$819 ,$556 
WHC PHYSICIAN GROUP LL,CLINTON,MD,"$5,517 ","$7,617 "
MEDSTAR MEDICAL GROUP,COLMAR MANOR,MD,"$1,964 ",$0 
MEDSTAR MEDICAL GROUP,COLMAR MANOR,MD,"$2,305 ",$0 
ALEXANDRIA IMMEDIATE C,COLUMBIA,MD,$184 ,$350 
HOWARD COUNTY GENERAL,COLUMBIA,MD,"$219,782 ","$27,345 "
HOWARD COUNTY GENERAL,COLUMBIA,MD,"$789,842 ","$146,317 "
INFECTIOUS DISEASE CAR,COLUMBIA,MD,"$101,853 ",$0 
JOHNS HOPKINS COMMUNIT,COLUMBIA,MD,"$34,321 ",$0 
JOHNS HOPKINS COMMUNIT,COLUMBIA,MD,"$1,362 ",$0 
JOHNS HOPKINS UNIVERSI,COLUMBIA,MD,"$11,149 ",$0 
MARYLAND PRIMARY CARE,COLUMBIA,MD,$118 ,$0 
MARYLAND PRIMARY CARE,COLUMBIA,MD,$55 ,$0 
PATIENT FIRST,COLUMBIA,MD,$50 ,"$2,689 "
PATIENT FIRST,COLUMBIA,MD,$156 ,"$6,838 "
SOMERVILLE SURGICAL LL,COLUMBIA,MD,"$1,870 ",$0 
ST JUDE LABORATORIES L,COLUMBIA,MD,"$46,200 ","$183,500 "
EMERGENCY SERVICE  ASS,CRISFIELD,MD,"$1,491 ","$14,745 "
WESTERN MARYLAND HEALT,CUMBERLAND,MD,"$6,448 ","$24,149 "
SHORE HEALTH SYSTEM,DENTON,MD,$23 ,$0 
UM COMMUNITY MEDICAL G,DENTON,MD,$0 ,$47 
ANNE ARUNDEL PHYSICIAN,EASTON,MD,$169 ,$0 
EASTERN SHORE EMERGENC,EASTON,MD,"$4,577 ","$7,238 "
SHORE BAYY HOSPITALIST,EASTON,MD,"$12,959 ",$0 
SHORE HEALTH SYSTEM,EASTON,MD,"$21,719 ","$11,827 "
SHORE HEALTH SYSTEM,EASTON,MD,$556 ,$0 
SHORE HOSPITALIST ASSO,EASTON,MD,"$7,244 ",$0 
UM COMMUNITY MEDICAL G,EASTON,MD,$365 ,$0 
RENEE FLETCHER,EDGEWOOD,MD,$0 ,"$1,365 "
RENEE FLETCHER,EDGEWOOD,MD,$201 ,"$2,064 "
CENTENNIAL MEDICAL GRO,ELKRIDGE,MD,"$10,060 ","$19,308 "
OUR URGENT CARE HEALTH,ELKRIDGE,MD,$0 ,"$5,590 "
UNION HOSPITAL OF CECI,ELKTON,MD,"$25,950 ","$10,349 "
USACS INTEGRATED ACUTE,ELKTON,MD,"$43,295 ",$0 
ALEXANDRIA IMMEDIATE C,ELLICOTT CITY,MD,$123 ,$430 
DESAI MEDICAL CENTER,ELLICOTT CITY,MD,"$1,214 ",$0 
DESAI MEDICAL CENTER,ELLICOTT CITY,MD,$82 ,$0 
JOHNS HOPKINS REGIONAL,ELLICOTT CITY,MD,"$7,444 ",$0 
MEDSTAR MEDICAL GROUP,ELLICOTT CITY,MD,$0 ,$82 
RAE HEALTHCARE LLC,ELLICOTT CITY,MD,$208 ,$0 
RAE HEALTHCARE LLC,ELLICOTT CITY,MD,"$9,488 ",$498 
SETON MEDICAL GROUP IN,ELLICOTT CITY,MD,$0 ,$50 
BALTIMORE MEDICAL SYST,ESSEX,MD,$624 ,$263 
ANACOSTIA MEDICAL ASSO,FORT WASHINGTON,MD,$685 ,$0 
GREATER WASHINGTON EME,FORT WASHINGTON,MD,"$5,862 ","$23,068 "
ANUSHA BELANI,FREDERICK,MD,"$2,266 ",$0 
ANUSHA BELANI,FREDERICK,MD,"$3,254 ",$0 
CRITICAL CARE ASSOCIAT,FREDERICK,MD,"$19,059 ",$0 
FREDERICK COUNTY DIVIS,FREDERICK,MD,"$3,508 ",$0 
FREDERICK MEDICAL AND,FREDERICK,MD,"$1,404 ",$0 
FREDERICK MEDICAL AND,FREDERICK,MD,"$1,051 ",$0 
FREDERICK MEMORIAL HOS,FREDERICK,MD,"$561,380 ","$241,336 "
FREDERICK MEMORIAL HOS,FREDERICK,MD,$49 ,$0 
JOHNS HOPKINS UNIVERSI,FREDERICK,MD,$436 ,$0 
MONOCACY HEALTH PARTNE,FREDERICK,MD,$0 ,"$9,962 "
PRIVIA MEDICAL GROUP,FREDERICK,MD,$191 ,$663 
PRIVIA MEDICAL GROUP,FREDERICK,MD,$0 ,$107 
PRIVIA MEDICAL GROUP,FREDERICK,MD,$606 ,"$3,317 "
WESTERN MARYLAND HEALT,FROSTBURG,MD,$0 ,"$1,949 "
